iter	Passed	Remaining
416	2416	3378
417	2423	3374
418	2428	3367
419	2432	3359
420	2438	3353
421	2442	3346
422	2448	3340
423	2453	3332
424	2457	3325
425	2461	3317
426	2466	3309
427	2470	3301
428	2474	3294
429	2479	3286
430	2483	3279
431	2488	3271
432	2492	3263
433	2496	3256
434	2500	3248
435	2507	3243
436	2513	3238
437	2517	3230
438	2522	3223
439	2526	3215
440	2531	3208
441	2537	3202
442	2541	3196
443	2548	3190
444	2552	3183
445	2556	3175
446	2560	3168
447	2575	3172
448	2583	3170
449	2590	3165
450	2594	3158
451	2602	3155
452	2608	3150
453	2614	3144
454	2618	3136
455	2623	3129
456	2628	3123
457	2636	3120
458	2641	3112
459	2646	3106
460	2652	3101
461	2657	3094
462	2666	3092
463	2672	3087
464	2679	3083
465	2686	3078
466	2692	3073
467	2699	3068
468	2703	3061
469	2710	3056
470	2718	3053
471	2728	3051
472	2739	3051
473	2744	3045
474	2749	3038
475	2753	3031
476	2760	3027
477	2767	3022
478	2775	3019
479	2785	3017
480	2794	3015
481	2799	3008
482	2804	3002
483	2814	3000
484	2822	2996
485	2831	2994
486	2839	2991
487	2850	2990
488	2856	2985
489	2865	2982
490	2871	2976
491	2881	2974
492	2888	2970
493	2894	2964
494	2899	2957
495	2910	2957
496	2914	2950
497	2921	2944
498	2926	2937
499	2930	2930
500	2940	2928
501	2950	2926
502	2960	2924
503	2974	2927
504	2979	2920
505	2989	2918
506	2994	2912
507	3005	2911
508	3012	2905
509	3020	2901
510	3028	2898
511	3038	2895
512	3043	2889
513	3053	2886
514	3062	2884
515	3071	2880
516	3076	2874
517	3082	2868
518	3090	2864
519	3098	2860
520	3104	2854
521	3111	2849
522	3122	2847
523	3129	2842
524	3133	2835
525	3139	2829
526	3145	2822
527	3152	2818
528	3157	2811
529	3162	2804
530	3167	2797
531	3172	2790
532	3180	2786
533	3188	2782
534	3198	2780
535	3204	2774
536	3215	2772
537	3221	2766
538	3225	2758
539	3230	2752
540	3237	2746
541	3247	2744
542	3252	2737
543	3256	2730
544	3261	2722
545	3265	2715
546	3271	2709
547	3276	2702
548	3280	2694
549	3289	2691
550	3297	2687
551	3302	2680
552	3308	2673
553	3312	2666
554	3317	2660
555	3325	2655
556	3331	2649
557	3337	2643
558	3354	2646
559	3368	2646
560	3385	2649
561	3403	2652
562	3412	2649
563	3419	2643
564	3432	2642
565	3448	2644
566	3454	2637
567	3459	2631
