iter	Logloss
0	0.6561980862
1	0.6255060103
2	0.5987373162
3	0.5725832818
4	0.546453622
5	0.5253932928
6	0.5055015492
7	0.4886721341
8	0.4723759318
9	0.4581596957
10	0.4470109146
11	0.436856344
12	0.4279366743
13	0.4188498687
14	0.411294537
15	0.4040756368
16	0.3964044197
17	0.390043039
18	0.3845922983
19	0.3791684957
20	0.374285218
21	0.3709243878
22	0.3679514446
23	0.3639497487
24	0.3603850357
25	0.3571163923
26	0.3545251471
27	0.3524182733
28	0.3498702855
29	0.3481143972
30	0.3458152803
31	0.3438727591
32	0.3424630763
33	0.3413407538
34	0.3396809378
35	0.3376263905
36	0.3358016297
37	0.3339618505
38	0.3327683118
39	0.331445158
40	0.3301776498
41	0.3292351932
42	0.3280701161
43	0.3270742093
44	0.3260859784
45	0.3252929038
46	0.3241149194
47	0.3232992846
48	0.3221745757
49	0.3210069754
50	0.3200901582
51	0.3192532412
52	0.3183037884
53	0.3175942815
54	0.316804963
55	0.3161467442
56	0.3155256813
57	0.3149184063
58	0.3142936326
59	0.3137066479
60	0.3132094999
61	0.3125762107
62	0.3120426264
63	0.3116140506
64	0.3110470929
65	0.3105737286
66	0.3098390733
67	0.3094901996
68	0.3089552638
69	0.3084994262
70	0.3080920447
71	0.3076288827
72	0.3071768687
73	0.3067821038
74	0.3063931761
75	0.3059777404
76	0.3056963233
77	0.305337956
78	0.3049634572
79	0.3045276767
80	0.3041633465
81	0.3038037593
82	0.3031202986
83	0.3028792177
84	0.3026383837
85	0.3023897403
86	0.3018452651
87	0.301667532
88	0.3014126692
89	0.3011659246
90	0.300769208
91	0.3003613194
92	0.3000321788
93	0.2998123032
94	0.2995735907
95	0.2990997825
96	0.2987610374
97	0.2985010273
98	0.297963075
99	0.2976587703
100	0.297443151
101	0.2970980214
102	0.2967930925
103	0.2965093015
104	0.2963398444
105	0.2960761912
106	0.295876579
107	0.2956466571
108	0.2951165065
109	0.2949455531
110	0.2947029798
111	0.294453078
112	0.2940616533
